continent,region,country,inflow1990,inflow1995,inflow2000,inflow2005,inflow2010,inflow2015
Africa,Eastern Africa,Burundi,333110,254853,125628,172874,235259,286810
Africa,Eastern Africa,Comoros,14079,13939,13799,13209,12618,12555
Africa,Eastern Africa,Djibouti,122221,99774,100507,92091,101575,112351
Africa,Eastern Africa,Eritrea,11848,12400,12952,14314,15676,15941
Africa,Eastern Africa,Ethiopia,1155390,806904,611384,514242,567720,1072949
Africa,Eastern Africa,Kenya,297292,618745,699139,756894,926959,1084357
Africa,Eastern Africa,Madagascar,23917,21177,23541,26058,28905,32075
Africa,Eastern Africa,Malawi,1127724,241624,232620,221661,217722,215158
Africa,Eastern Africa,Mauritius,3613,7493,15543,19647,24836,28585
Africa,Eastern Africa,Mayotte,15229,26316,45474,63176,72757,76992
Africa,Eastern Africa,Mozambique,122332,168256,195702,204830,214612,222928
Africa,Eastern Africa,Réunion,57210,77159,100678,115076,123029,127209
Africa,Eastern Africa,Rwanda,159869,233200,347076,432797,436787,441525
Africa,Eastern Africa,Seychelles,3721,5148,6574,8997,11420,12791
Africa,Eastern Africa,Somalia,478294,19527,20087,20670,23995,25291
Africa,Eastern Africa,South Sudan,0,0,0,0,257905,824122
Africa,Eastern Africa,Uganda,558307,634620,634703,652968,529160,749471
Africa,Eastern Africa,Tanzania,574025,1106043,928180,770846,308600,261222
Africa,Eastern Africa,Zambia,279029,244338,321167,252749,149637,127915
Africa,Eastern Africa,Zimbabwe,626821,431226,410041,392693,397891,398866
Africa,Middle Africa,Angola,33517,39813,46108,61329,76549,106845
Africa,Middle Africa,Cameroon,265344,246864,228383,258737,289091,381984
Africa,Middle Africa,Central African Republic,67234,99712,123529,94449,93466,81598
Africa,Middle Africa,Chad,74342,89584,104825,352062,416924,516968
Africa,Middle Africa,Congo,129597,191635,305002,315238,419649,392996
Africa,Middle Africa,Democratic Republic of the Congo,754194,1816963,744387,622869,588950,545694
Africa,Middle Africa,Equatorial Guinea,2740,3629,4517,6588,8658,10825
Africa,Middle Africa,Gabon,127980,152972,195571,214123,243992,268384
Africa,Middle Africa,Sao Tome and Principe,5582,4936,4365,3433,2700,2394
Africa,Northern Africa,Algeria,273954,262032,250110,247537,244964,242391
Africa,Northern Africa,Egypt,173708,166955,173452,274001,295714,491643
Africa,Northern Africa,Libya,457075,508041,567436,625212,683998,771146
Africa,Northern Africa,Morocco,54895,50360,53034,54379,70909,88511
Africa,Northern Africa,Sudan,1402896,1053396,801883,541994,578363,503477
Africa,Northern Africa,Tunisia,37984,37867,36446,35040,43172,56701
Africa,Northern Africa,Western Sahara,2688,2989,3289,3891,4493,5179
