region,year_1990,year_1995,year_2000,year_2005,year_2010,year_2015
Eastern Africa,5964031,5022742,4844795,4745792,4657063,6129113
Middle Africa,1460530,2646108,1756687,1928828,2139979,2307688
Northern Africa,2403200,2081640,1885650,1782054,1921613,2159048
Southern Africa,1392359,1191582,1222314,1439426,2203306,3435194
Western Africa,4470503,5410742,5090860,5295046,5918053,6618514
Central Asia,6630683,5890035,5183872,5238699,5262414,5393504
Eastern Asia,3959345,4658475,5393081,6229524,7061814,7596693
South-Eastern Asia,2876616,3700057,4926833,6522343,8661853,9867722
Southern Asia,19436343,15343019,15278020,13722011,14326591,14103682
Western Asia,15239274,16956639,18559009,21658647,30601647,38119524
Eastern Europe,21995312,21344124,20428480,19747392,19116929,19684357
Northern Europe,6645605,7194824,7900973,9588814,11858391,13331442
Southern Europe,4340454,5985675,7517054,11974334,16154120,15747685
Western Europe,16237829,18318040,20425378,22776284,25245315,27382470
Caribbean,1056555,1154700,1255647,1328740,1345732,1367407
Central America,1829911,1298916,1107577,1385713,1749940,2040151
South America,4283262,4241024,4215204,4518645,5143123,5826431
Northern America,27610542,33341147,40351848,45363387,51220996,54488725
Australia and New Zealand,4473260,4741947,5065063,5717982,6830423,7803399
Melanesia,90210,96828,94078,103878,105684,109595
Micronesia,108969,118687,130186,128390,116245,115772
Polynesia,58419,64801,70700,73171,73012,72120
