country,outflow1990,outflow1995,outflow2000,outflow2005,outflow2010,outflow2015
Belgium,365418.0,375166.0,399119.0,440438.0,489641.0,530990.0
Democratic Republic of the Congo,401962.0,528993.0,831183.0,1080211.0,1225383.0,1403759.0
France,1197093.0,1324736.0,1524171.0,1704258.0,1965326.0,2145978.0
Kenya,242117.0,266281.0,307166.0,343060.0,405027.0,455889.0
Rwanda,550717.0,2065549.0,321694.0,287179.0,328146.0,315866.0
Uganda,311490.0,469012.0,552536.0,557006.0,701258.0,736021.0
Tanzania,204272.0,231767.0,219819.0,238295.0,265412.0,294531.0
Madagascar,58633.0,66542.0,76309.0,147847.0,158183.0,169984.0
Réunion,3087.0,2624.0,2320.0,2529.0,2842.0,3028.0
Ethiopia,1687522.0,818747.0,442163.0,519478.0,623995.0,753493.0
Somalia,846971.0,898842.0,1003539.0,1156120.0,1595525.0,1998768.0
Yemen,455440.0,485793.0,528850.0,631861.0,880925.0,1012893.0
Angola,809940.0,668743.0,870400.0,679429.0,619312.0,555405.0
Cambodia,337199.0,543906.0,738398.0,616789.0,280874.0,284187.0
China,4876635.0,5612390.0,6538795.0,8105953.0,9674676.0,10727784.0
Comoros,40076.0,51284.0,70493.0,96141.0,108553.0,116516.0
India,6718813.0,7208869.0,7952376.0,9617900.0,13286378.0,15575752.0
Malawi,121365.0,139034.0,184770.0,224605.0,271158.0,302516.0
Mozambique,2217998.0,809062.0,636771.0,628285.0,672982.0,713867.0
South Africa,327661.0,400991.0,510696.0,617060.0,740535.0,841118.0
South Sudan,514948.0,438046.0,342631.0,243078.0,403897.0,634613.0
Sudan,587064.0,745585.0,859206.0,1175185.0,1196497.0,1890865.0
United Kingdom,3795665.0,3702745.0,3849625.0,4121632.0,4555348.0,4917460.0
Zambia,83210.0,140354.0,160100.0,177782.0,209456.0,238121.0
Zimbabwe,176697.0,252379.0,310479.0,409450.0,666412.0,856347.0
Djibouti,5281.0,6937.0,9039.0,12207.0,13658.0,15927.0
Eritrea,170617.0,324795.0,509990.0,289429.0,281118.0,499918.0
Namibia,16057.0,28202.0,48723.0,59385.0,93209.0,145850.0
Congo,91302.0,111228.0,129315.0,165859.0,195848.0,220501.0
Bangladesh,5451589.0,5422910.0,5432941.0,5761992.0,6748097.0,7205379.0
Bonaire,997144.0,1041920.0,1126222.0,1167051.0,1229266.0,1286181.0
Germany,3277681.0,3262493.0,3336524.0,3571293.0,3836434.0,4045410.0
Ireland,917645.0,858828.0,817391.0,768257.0,776569.0,882022.0
Italy,3416428.0,3248802.0,3103586.0,2772284.0,2670111.0,2900927.0
Japan,609034.0,646481.0,702689.0,717380.0,750678.0,797500.0
Malaysia,562615.0,862036.0,1202239.0,1379813.0,1621942.0,1835293.0
Pakistan,3341602.0,3338624.0,3392621.0,3892473.0,5018556.0,5935217.0
Russia,12704531.0,11670326.0,10812542.0,10537489.0,10430971.0,10576802.0
Seychelles,29376.0,19208.0,9290.0,9776.0,10673.0,11772.0
Spain,1449328.0,1368325.0,1296628.0,1131586.0,1109449.0,1251002.0
Sri Lanka,885837.0,925023.0,980192.0,1139723.0,1438101.0,1637388.0
Switzerland,323233.0,335830.0,367241.0,505389.0,639641.0,664557.0
United States of America,1736289.0,1836096.0,1988214.0,2303565.0,2721703.0,3023662.0
Cameroon,91681.0,107064.0,125299.0,141382.0,151080.0,165732.0
Lesotho,191994.0,137832.0,120499.0,144125.0,225605.0,363762.0
Portugal,2061194.0,2097042.0,2174439.0,1936057.0,2098904.0,2306335.0
Mauritius,108385.0,111390.0,115984.0,127711.0,152757.0,168255.0
Mayotte,1835.0,3937.0,6216.0,6471.0,6365.0,6602.0
Australia,303406.0,342288.0,382416.0,428556.0,487521.0,526583.0
Cuba,835545.0,908480.0,1027733.0,1134019.0,1259490.0,1426393.0
Indonesia,1636334.0,1948960.0,2334658.0,2714254.0,3492467.0,3876668.0
Maldives,2192.0,1692.0,1196.0,1762.0,2757.0,2844.0
Nepal,748043.0,855997.0,970936.0,1124978.0,1377289.0,1629302.0
Nigeria,448460.0,517620.0,596678.0,781345.0,984558.0,1093645.0
Philippines,2029181.0,2466776.0,3031153.0,3658526.0,4656392.0,5316285.0
Thailand,309089.0,409774.0,526579.0,631345.0,770072.0,854327.0
Democratic People's Republic of Korea,39012.0,54859.0,72057.0,88429.0,105807.0,112783.0
Denmark,202194.0,207615.0,217817.0,226904.0,238234.0,250675.0
Greece,1041459.0,1011531.0,984651.0,894260.0,821075.0,871646.0
Netherlands,728809.0,734470.0,754434.0,809646.0,903204.0,981428.0
Republic of Korea,1625596.0,1777368.0,1930234.0,2015352.0,2266248.0,2345868.0
Brazil,26037.0,23304.0,26393.0,30883.0,44474.0,58346.0
Swaziland,35184.0,30347.0,33647.0,40531.0,63655.0,95671.0
Cabo Verde,115311.0,135912.0,161121.0,211052.0,279137.0,328604.0
Egypt,1321125.0,1488326.0,1704545.0,1898036.0,2607910.0,3268971.0
Ghana,374640.0,429141.0,468283.0,559321.0,694014.0,801718.0
Mali,647748.0,789129.0,722664.0,749255.0,842733.0,1005611.0
Senegal,369263.0,356528.0,387987.0,472300.0,557133.0,586868.0
