COD_REGION;NAME_REGION;COD_CONTINENT
927;Australia and New Zealand;909
915;Caribbean;904
916;Central America;904
5500;Central Asia;935
910;Eastern Africa;903
906;Eastern Asia;935
923;Eastern Europe;908
928;Melanesia;909
954;Micronesia;909
911;Middle Africa;903
912;Northern Africa;903
905;Northern America;905
924;Northern Europe;908
957;Polynesia;909
931;South America;904
920;South-Eastern Asia;935
913;Southern Africa;903
5501;Southern Asia;935
925;Southern Europe;908
914;Western Africa;903
922;Western Asia;935
926;Western Europe;908
