countryName,Country Code,population1990,population1995,population2000,population2005,population2010,population2015
Aruba,ABW,62149,80324,90853,100031,101669,104341
Afghanistan,AFG,12249114,17099541,20093756,25070798,28803167,33736494
Angola,AGO,12171441,14268994,16440924,19552542,23369131,27859305
Albania,ALB,3286542,3187784,3089027,3011487,2913021,2880703
Andorra,AND,54509,63850,65390,78867,84449,78014
United Arab Emirates,ARE,1860174,2448820,3154925,4579562,8270684,9154302
Argentina,ARG,32729739,34994814,37057452,39145488,41223889,43417765
Armenia,ARM,3538165,3217342,3069588,2981259,2877311,2916950
American Samoa,ASM,47038,52868,57521,59118,55637,55537
Antigua and Barbuda,ATG,66696,73619,83584,89253,94661,99923
Australia,AUS,17065100,18072000,19153000,20394800,22031750,23789338
Austria,AUT,7677850,7948278,8011566,8227829,8363404,8633169
Azerbaijan,AZE,7159000,7685000,8048600,8391850,9054332,9649341
Burundi,BDI,5415415,5962058,6400706,7423289,8766930,10199270
Belgium,BEL,9967379,10136811,10251250,10478617,10895586,11274196
Benin,BEN,4978496,5905558,6865951,7982225,9199259,10575952
Burkina Faso,BFA,8811034,10089878,11607942,13421930,15605217,18110624
Bangladesh,BGD,106188642,118706871,131581243,143431101,152149102,161200886
Bulgaria,BGR,8718289,8406067,8170172,7658972,7395599,7177991
Bahrain,BHR,495931,563699,664614,889168,1240862,1371855
Bahamas,BHS,256336,280150,297890,329249,360832,386838
Bosnia and Herz.,BIH,4463422,3843712,3766706,3781530,3722084,3535961
Belarus,BLR,10189000,10194000,9979610,9663915,9490583,9489616
Belize,BLZ,187552,206963,247315,283277,321608,359288
Bermuda,BMU,59326,59746,61833,64154,65124,65235
Bolivia,BOL,6856244,7566714,8339512,9125409,9918242,10724705
Brazil,BRA,149352145,162296612,175287587,186917361,196796269,205962108
Barbados,BRB,260374,264959,269847,274009,279569,284217
Brunei Darussalam,BRN,258785,297192,333241,365158,388662,417542
Bhutan,BTN,537280,514877,573416,656639,727641,787386
Botswana,BWA,1377912,1569094,1728340,1855852,2014866,2209197
Central African Republic,CAF,2939780,3352767,3754986,4127910,4448525,4546100
Canada,CAN,27791000,29354000,30769700,32312000,34005274,35848610
Central Europe and the Baltics,CEB,110745760,109913216,108405522,106173766,104543801,103257751
Switzerland,CHE,6715519,7040687,7184250,7437115,7824909,8282396
Channel Islands,CHI,140671,144046,148725,154294,159581,163758
Chile,CHL,13242132,14296613,15262754,16147064,16993354,17762681
China,CHN,1135185000,1204855000,1262645000,1303720000,1337705000,1371220000
Côte d'Ivoire,CIV,12267754,14540820,16686561,18336303,20401331,23108472
Cameroon,CMR,11715218,13460994,15274234,17420795,19970495,22834522
Democratic Republic of the Congo,COD,34614581,41595744,47076387,54751476,64523263,76196619
Congo,COG,2440457,2799255,3225727,3718243,4386693,4995648
Colombia,COL,34271565,37441977,40403958,43285634,45918097,48228697
Comoros,COM,411594,475394,542357,611627,689692,777424
Cabo Verde,CPV,341883,389127,435079,474567,502384,532913
Costa Rica,CRI,3095995,3510926,3925443,4247841,4545280,4807852
Caribbean small states,CSS,6021614,6292827,6530691,6761932,6984096,7204948
Cuba,CUB,10582081,10906043,11150736,11284253,11333051,11461432
Curaçao,CUW,145400,145139,133860,137658,148703,157979
Cayman Islands,CYM,25010,31672,41687,48622,55507,59963
Cyprus,CYP,766614,855384,943286,1027658,1112607,1160985
Czech Republic,CZE,10333355,10327253,10255063,10211216,10474410,10546059
Germany,DEU,79433029,81678051,82211508,82469422,81776930,81686611
Djibouti,DJI,590398,630388,717584,783254,851146,927414
Dominica,DMA,70926,71368,69676,70627,71440,73162
Denmark,DNK,5140939,5233373,5339616,5419432,5547683,5683483
Dominican Republic,DOM,7183647,7892423,8562622,9237566,9897985,10528394
Algeria,DZA,25912367,28904298,31183660,33288437,36117637,39871528
East Asia & Pacific (excluding high income),EAP,1602333626,1714178345,1813301554,1893574455,1964691596,2036552598
